,director,first_actor,genres,rating,runtime,second_actor,title
0,Émile Gaudreault,Luke Kirby,"[Comedy, Drama]",6.8,88.0,Peter Miller,Mambo italiano
1,Selçuk Aydemir,Murat Cemcir,[Comedy],7.4,90.0,Ahmet Kural,&#xC7;algi &#xE7;engi
2,S.S. Rajamouli,Ram Charan,"[Action, Drama, Romance]",7.6,166.0,Kajal Agarwal,Magadheera
3,Mark Dindal,Scott Bakula,"[Animation, Comedy, Family, Fantasy, Musical]",6.9,75.0,Jasmine Guy,Cats Don&#x27;t Dance
4,Hans-Christian Schmid,August Diehl,"[Thriller, Drama]",7.4,99.0,Fabian Busch,23
5,Lynne Ramsay,Tommy Flanagan,[Drama],7.5,94.0,Mandy Matthews,Ratcatcher
6,Roger Donaldson,Willem Dafoe,"[Crime, Drama, Thriller]",6.0,101.0,Mary Elizabeth Mastrantonio,White Sands
7,Taner Akvardar,Mustafa Altioklar,"[Action, Adventure, Comedy]",1.9,100.0,Mehmet Ali Erbil,Yes Sir
8,David Arquette,Jaime King,"[Comedy, Horror]",5.2,93.0,Thomas Jane,The Tripper
9,DJ Pooh,Dr. Dre,[Comedy],4.5,93.0,Snoop Dogg,The Wash
10,John Hindman,Jeff Daniels,"[Comedy, Romance]",6.5,97.0,Lauren Graham,Arlen Faber
11,Rolf Schübel,Joachim Król,"[Romance, Drama]",7.9,112.0,Erika Marozsán,Gloomy Sunday
12,Jim Kouf,James Belushi,"[Crime, Drama]",6.7,102.0,Tupac Shakur,Gang Related
13,Kaige Chen,Li Gong,"[Drama, History]",7.3,162.0,Fengyi Zhang,Jing Ke ci Qin Wang
14,Béla Tarr,Mihály Vig,"[Comedy, Drama]",8.5,450.0,Putyi Horváth,S&#xE1;t&#xE1;ntang&#xF3;
15,Tomas Alfredson,Kåre Hedebrant,"[Drama, Horror]",8.0,115.0,Lina Leandersson,Let the Right One In
16,Stephen Sommers,Dennis Quaid,"[Action, Adventure, Sci-Fi, Thriller]",5.8,118.0,Channing Tatum,G.I. Joe: The Rise of Cobra
17,Jean-Jacques Annaud,Jude Law,"[Drama, History, Romance, Thriller, War]",7.6,131.0,Ed Harris,Enemy at the Gates
18,James Wong,Devon Sawa,[Horror],6.8,98.0,Ali Larter,Final Destination
19,Shane Black,Robert Downey Jr.,"[Action, Comedy, Crime, Mystery]",7.7,103.0,Val Kilmer,Kiss Kiss Bang Bang
20,Steven Spielberg,Jamie Bell,"[Animation, Action, Adventure, Family, Mystery]",7.4,107.0,Andy Serkis,The Adventures of Tintin: The Secret of the Unicorn
21,Bryan Singer,Tom Cruise,"[Drama, History, Thriller, War]",7.1,121.0,Bill Nighy,Valkyrie
22,Mike Nichols,Natalie Portman,"[Drama, Romance]",7.3,104.0,Jude Law,Closer
23,James Mangold,John Cusack,"[Mystery, Thriller]",7.3,90.0,Ray Liotta,Identity
24,John Madden,Gwyneth Paltrow,"[Comedy, Drama, Romance]",7.2,123.0,Joseph Fiennes,Shakespeare in Love
25,Luke Greenfield,Emile Hirsch,"[Comedy, Drama, Romance]",6.8,108.0,Nicholas Downs,The Girl Next Door
26,Martin McDonagh,Colin Farrell,"[Comedy, Crime]",7.2,110.0,Woody Harrelson,Seven Psychopaths
27,Mark Steven Johnson,Nicolas Cage,"[Action, Fantasy, Horror, Thriller]",5.2,114.0,Eva Mendes,Ghost Rider
28,Niels Arden Oplev,Michael Nyqvist,"[Crime, Drama, Mystery, Thriller]",7.8,152.0,Noomi Rapace,The Girl with the Dragon Tattoo
29,Peter Segal,Jack Nicholson,[Comedy],6.2,106.0,Adam Sandler,Anger Management
30,John Hillcoat,Viggo Mortensen,"[Adventure, Drama]",7.3,111.0,Charlize Theron,The Road
31,Bill Condon,Kristen Stewart,"[Adventure, Drama, Fantasy, Romance]",5.6,115.0,Robert Pattinson,The Twilight Saga: Breaking Dawn - Part 2
32,Brad Furman,Matthew McConaughey,"[Crime, Drama, Thriller]",7.3,118.0,Marisa Tomei,The Lincoln Lawyer
33,Curtis Hanson,Eminem,"[Drama, Music]",6.9,110.0,Brittany Murphy,8 Mile
34,Nimród Antal,Adrien Brody,"[Action, Adventure, Sci-Fi, Thriller]",6.4,107.0,Laurence Fishburne,Predators
35,Michael Bay,Will Smith,"[Action, Comedy, Crime, Thriller]",6.5,147.0,Martin Lawrence,Bad Boys II
36,Peter Weir,Russell Crowe,"[Action, Adventure, Drama, War]",7.4,138.0,Paul Bettany,Master and Commander: The Far Side of the World
37,Rawson Marshall Thurber,Ben Stiller,"[Comedy, Sport]",6.7,92.0,Christine Taylor,Dodgeball: A True Underdog Story
38,Nancy Meyers,Kate Winslet,"[Comedy, Romance]",6.9,138.0,Cameron Diaz,The Holiday
39,Peter Segal,Steve Carell,"[Action, Comedy, Thriller]",6.5,110.0,Anne Hathaway,Get Smart
40,Tim Burton,Mike Johnson,"[Animation, Fantasy, Musical, Romance]",7.4,77.0,Johnny Depp,Corpse Bride
41,Jon Hurwitz,Hayden Schlossberg,[Comedy],6.8,113.0,Jason Biggs,American Reunion
42,Justin Lin,Vin Diesel,"[Action, Crime, Drama, Thriller]",6.6,107.0,Paul Walker,Fast &#x26; Furious
43,Derek Cianfrance,Ryan Gosling,"[Crime, Drama, Romance, Thriller]",7.4,140.0,Bradley Cooper,The Place Beyond the Pines
44,Ridley Scott,Leonardo DiCaprio,"[Action, Drama, Thriller]",7.1,128.0,Russell Crowe,Body of Lies
45,Rob Marshall,Renée Zellweger,"[Comedy, Crime, Musical]",7.2,113.0,Catherine Zeta-Jones,Chicago
46,John Hamburg,Paul Rudd,[Comedy],7.1,105.0,Jason Segel,"I Love You, Man"
47,Jon Favreau,Daniel Craig,"[Action, Sci-Fi, Thriller, Western]",6.1,119.0,Harrison Ford,Cowboys &#x26; Aliens
48,Gore Verbinski,Johnny Depp,"[Animation, Adventure, Comedy, Family, Western]",7.3,107.0,Isla Fisher,Rango
49,Ethan Maniquis,Robert Rodriguez,"[Action, Crime, Thriller]",6.7,105.0,Danny Trejo,Machete
50,Oliver Stone,Woody Harrelson,"[Crime, Drama]",7.3,118.0,Juliette Lewis,Natural Born Killers
51,Tom Tykwer,Franka Potente,"[Action, Crime, Sci-Fi, Thriller]",7.8,81.0,Moritz Bleibtreu,Run Lola Run
52,Tim Burton,Jack Nicholson,"[Comedy, Sci-Fi]",6.3,106.0,Pierce Brosnan,Mars Attacks!
53,John Hillcoat,Tom Hardy,"[Crime, Drama]",7.3,116.0,Shia LaBeouf,Lawless
54,Lasse Hallström,Johnny Depp,[Drama],7.8,118.0,Leonardo DiCaprio,What&#x27;s Eating Gilbert Grape
55,David Ayer,Jake Gyllenhaal,"[Crime, Drama, Thriller]",7.7,109.0,Michael Peña,End of Watch
56,Robert Rodriguez,Rose McGowan,"[Action, Horror]",7.2,105.0,Freddy Rodríguez,Planet Terror
57,Dennis Dugan,Adam Sandler,[Comedy],5.9,102.0,Salma Hayek,Grown Ups
58,Jason Moore,Anna Kendrick,"[Comedy, Music, Romance]",7.3,112.0,Brittany Snow,Pitch Perfect
59,Mark Steven Johnson,Ben Affleck,"[Action, Crime, Fantasy, Sci-Fi, Thriller]",5.4,103.0,Jennifer Garner,Daredevil
60,Joel Schumacher,Jim Carrey,"[Mystery, Thriller]",6.4,101.0,Virginia Madsen,The Number 23
61,M. Night Shyamalan,Mark Wahlberg,"[Sci-Fi, Thriller]",5.1,91.0,Zooey Deschanel,The Happening
62,Christophe Gans,Radha Mitchell,"[Horror, Mystery]",6.6,125.0,Laurie Holden,Silent Hill
63,Carlos Saldanha,Ray Romano,"[Animation, Action, Adventure, Comedy, Family, Fantasy, Romance, Sci-Fi]",6.9,91.0,John Leguizamo,Ice Age: The Meltdown
64,Chris Columbus,Robin Williams,"[Comedy, Drama, Family]",6.8,125.0,Sally Field,Mrs. Doubtfire
65,Courtney Solomon,Justin Whalin,"[Action, Adventure, Fantasy]",3.6,107.0,Jeremy Irons,Dungeons &#x26; Dragons
66,Alan J. Pakula,Harrison Ford,"[Crime, Drama, Mystery, Thriller]",6.9,127.0,Raul Julia,Presumed Innocent
67,Nicholas Hytner,Daniel Day-Lewis,"[Drama, History]",6.9,124.0,Winona Ryder,The Crucible
68,Jon Kasdan,Adam Brody,"[Comedy, Drama, Romance]",6.6,97.0,Kristen Stewart,In the Land of Women
69,Rachel Talalay,Robert Englund,"[Comedy, Horror, Thriller]",4.9,89.0,Lisa Zane,Freddy&#x27;s Dead: The Final Nightmare
70,Christopher McQuarrie,Ryan Phillippe,"[Action, Crime, Drama, Thriller]",6.7,119.0,Benicio Del Toro,The Way of the Gun
71,Shawn Levy,Frankie Muniz,"[Adventure, Comedy, Family]",5.4,88.0,Amanda Bynes,Big Fat Liar
72,Michael Apted,Jennifer Lopez,"[Crime, Drama, Thriller]",5.5,115.0,Billy Campbell,Enough
73,Bruce Hunt,Piper Perabo,"[Action, Adventure, Horror, Thriller]",5.0,97.0,Morris Chestnut,The Cave
74,Thomas Schlamme,Mike Myers,"[Comedy, Crime, Romance, Thriller]",6.4,93.0,Nancy Travis,So I Married an Axe Murderer
75,John R. Leonetti,Eric Lively,"[Drama, Sci-Fi, Thriller]",4.4,92.0,Erica Durance,The Butterfly Effect 2
76,Simon Wells,Kevin Bacon,"[Animation, Adventure, Drama, Family, History]",7.0,78.0,Bob Hoskins,Balto
77,Sujoy Ghosh,Vidya Balan,"[Drama, Thriller]",8.3,122.0,Parambrata Chatterjee,Kahaani
78,Curtis Hanson,Annabella Sciorra,"[Drama, Thriller]",6.5,110.0,Rebecca De Mornay,The Hand That Rocks the Cradle
79,Marcos Siega,Ryan Reynolds,"[Comedy, Drama, Romance]",6.8,87.0,Emily Mortimer,Chaos Theory
80,Michael Winterbottom,Casey Affleck,"[Crime, Drama, Thriller]",6.2,109.0,Kate Hudson,The Killer Inside Me
81,Gérard Krawczyk,Jean Reno,"[Action, Drama, Comedy, Crime, Thriller]",6.6,94.0,Ryôko Hirosue,Wasabi
82,Joachim Rønning,Espen Sandberg,"[Action, Comedy, Crime, Western]",5.7,93.0,Penélope Cruz,Bandidas
83,Anthony Hemingway,Cuba Gooding Jr.,"[Action, Adventure, Drama, History, War]",5.9,125.0,Gerald McRaney,Red Tails
84,Jonathan Levine,Josh Peck,"[Comedy, Drama, Romance]",7.0,99.0,Ben Kingsley,The Wackness
85,Abel Ferrara,Harvey Keitel,"[Crime, Drama]",7.1,96.0,Victor Argo,Bad Lieutenant
86,Wayne Wang,Harvey Keitel,"[Comedy, Drama]",7.5,112.0,William Hurt,Smoke
87,Vincenzo Natali,Jeremy Northam,"[Mystery, Sci-Fi, Thriller]",6.9,95.0,Lucy Liu,Brainstorm
88,Rick Friedberg,Leslie Nielsen,"[Comedy, Action]",5.2,81.0,Nicollette Sheridan,Spy Hard
89,Andy Cadiff,Mandy Moore,"[Comedy, Romance]",6.1,111.0,Matthew Goode,Chasing Liberty
90,Michael Patrick Jann,Kirsten Dunst,[Comedy],6.5,97.0,Denise Richards,Drop Dead Gorgeous
91,Barry Levinson,Robin Williams,"[Comedy, Drama, Romance, Thriller]",6.2,115.0,Laura Linney,Man of the Year
92,Christian E. Christiansen,Minka Kelly,"[Drama, Horror, Thriller]",4.8,91.0,Leighton Meester,The Roommate
93,Uli Edel,Martina Gedeck,"[Action, Biography, Crime, Drama]",7.4,150.0,Moritz Bleibtreu,The Baader Meinhof Complex
94,Niall Johnson,Rowan Atkinson,"[Comedy, Crime, Drama, Mystery]",6.8,99.0,Kristin Scott Thomas,Keeping Mum
95,Simon Wincer,Billy Zane,"[Action, Adventure, Comedy]",4.8,100.0,Kristy Swanson,The Phantom
96,Jennifer Flackett,Mark Levin,"[Adventure, Comedy, Family, Fantasy]",6.0,96.0,Jodie Foster,Nim&#x27;s Island
97,Nicole Kassell,Kevin Bacon,[Drama],7.3,87.0,Kyra Sedgwick,The Woodsman
98,Andrzej Bartkowiak,Steven Seagal,"[Action, Comedy, Crime, Drama, Thriller]",5.5,101.0,DMX,Exit Wounds
99,Joseph Ruben,Macaulay Culkin,"[Drama, Thriller]",6.3,87.0,Elijah Wood,The Good Son
100,David Mamet,Val Kilmer,"[Action, Crime, Drama, Mystery, Thriller]",6.6,106.0,Derek Luke,Spartan
101,Noah Baumbach,Ben Stiller,"[Comedy, Drama, Romance]",6.1,107.0,Greta Gerwig,Greenberg
102,Francis Veber,Thierry Lhermitte,[Comedy],7.7,80.0,Jacques Villeret,Le D&#xEE;ner de Cons
103,Anubhav Sinha,Arjun Rampal,"[Action, Adventure, Sci-Fi]",4.9,156.0,Shah Rukh Khan,Ra.One
104,William Friedkin,Ashley Judd,"[Horror, Thriller]",6.0,102.0,Michael Shannon,Bug
105,Mamoru Hosoda,Riisa Naka,"[Animation, Comedy, Drama, Mystery, Romance, Sci-Fi]",7.9,98.0,Takuya Ishida,The Girl Who Leapt Through Time
106,Boaz Yakin,Brittany Murphy,"[Comedy, Drama, Romance]",6.0,92.0,Dakota Fanning,Uptown Girls
107,Luis Mandoki,Kevin Costner,"[Drama, Romance]",6.1,131.0,Robin Wright,Message in a Bottle
108,Sidney Lumet,Vin Diesel,"[Biography, Comedy, Crime, Drama]",7.1,125.0,Peter Dinklage,Find Me Guilty
109,Mel Brooks,Leslie Nielsen,"[Comedy, Fantasy, Horror]",5.7,88.0,Mel Brooks,Dracula: Dead and Loving It
110,Brett Leonard,Jeff Fahey,"[Horror, Sci-Fi]",5.3,107.0,Pierce Brosnan,The Lawnmower Man
111,Sam Taylor-Johnson,Aaron Taylor-Johnson,"[Biography, Drama, Music]",7.2,98.0,Kristin Scott Thomas,Nowhere Boy
112,D.J. Caruso,Val Kilmer,"[Crime, Drama, Mystery, Thriller]",7.2,103.0,Vincent D'Onofrio,The Salton Sea
113,Dany Boon,Kad Merad,[Comedy],7.1,106.0,Dany Boon,Welcome to the Sticks
114,Taylor Hackford,Kathy Bates,"[Crime, Drama, Mystery, Thriller]",7.4,132.0,Jennifer Jason Leigh,Dolores Claiborne
115,Stanley Tucci,Oliver Platt,[Comedy],6.5,101.0,Stanley Tucci,The Impostors
116,Eric Lartigau,Alain Chabat,"[Comedy, Romance]",6.8,90.0,Charlotte Gainsbourg,I Do
117,John Milius,Danny Glover,"[Action, Romance, War]",5.6,115.0,Willem Dafoe,Flight of the Intruder
118,Stephan Komandarev,Predrag Manojlovic,[Drama],8.1,105.0,Carlo Ljubek,The World is Big and Salvation Lurks Around the Corner
119,Jan Komasa,Jakub Gierszal,"[Drama, Thriller]",6.9,110.0,Roma Gasiorowska,Suicide Room
120,Craig R. Baxley,Brian Bosworth,"[Action, Crime, Drama]",5.8,92.0,Lance Henriksen,Stone Cold
121,Koldo Serra,Gary Oldman,"[Drama, Thriller]",5.7,97.0,Virginie Ledoyen,BackWoods
122,Steven Sheil,Perry Benson,"[Horror, Thriller]",6.0,84.0,Dido Miles,Mum &#x26; Dad
123,Gideon Raff,Thora Birch,"[Horror, Thriller]",4.8,94.0,Gideon Emery,Train
124,Dario Argento,Christopher Rydell,"[Horror, Mystery, Thriller]",6.0,106.0,Asia Argento,Trauma
